,pick_no,avg_ws,total_ws to date,years played,year drafted
Nick Collison,12,3.17,44.4,14,2003
Marcus Banks,13,0.82,6.6,8,2003
Luke Ridnour,14,3.01,36.1,12,2003
Dwight Howard,1,8.15,138.5,17,2004
Emeka Okafor,2,4.53,45.3,10,2004
Ben Gordon,3,3.04,33.4,11,2004
Shaun Livingston,4,2.14,29.9,14,2004
Devin Harris,5,3.66,54.9,15,2004
Josh Childress,6,3.22,25.8,8,2004
Luol Deng,7,4.94,74.1,15,2004
Rafael Araújo,8,-0.13,-0.4,3,2004
